"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 17:17:07 IST 2022","Wed Nov 09 17:17:11 IST 2022","4066","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","emptyCredentials","Check emptyCredentials flow",""
"passed","Wed Nov 09 17:24:36 IST 2022","Wed Nov 09 17:24:36 IST 2022","189","All Test Suite","Settings","Pages.Settings","Pages.Settings","settingsFlow4","Check negative settings flow",""
"broken","Tue Nov 08 18:44:41 IST 2022","Tue Nov 08 18:44:50 IST 2022","9268","All Test Suite","Patients Flow","Tests.Patient","Tests.Patient","PatientVisits","Check patient visits flow",""
"passed","Wed Nov 09 17:17:19 IST 2022","Wed Nov 09 17:17:24 IST 2022","4169","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","invalidUserName","Check invalidUserName flow",""
"passed","Tue Nov 08 18:44:13 IST 2022","Tue Nov 08 18:44:19 IST 2022","5958","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow5","Check negative settings flow",""
"passed","Tue Nov 08 18:44:11 IST 2022","Tue Nov 08 18:44:13 IST 2022","2374","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow3","Check negative settings flow",""
"passed","Tue Nov 08 18:35:22 IST 2022","Tue Nov 08 18:35:26 IST 2022","4270","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","invalidUserName","Check invalidUserName flow",""
"broken","Wed Nov 09 17:21:49 IST 2022","Wed Nov 09 17:21:49 IST 2022","0","All Test Suite","Upload and Analyse","Pages.UploadAndAnalyse","Pages.UploadAndAnalyse","tearDown","tearDown",""
"passed","Tue Nov 08 18:43:55 IST 2022","Tue Nov 08 18:44:02 IST 2022","6802","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow","Check settings flow",""
"broken","Tue Nov 08 18:44:50 IST 2022","Tue Nov 08 18:45:20 IST 2022","30067","All Test Suite","Patients Flow","Tests.Patient","Tests.Patient","Patients","Check patients flow",""
"broken","Wed Nov 09 17:25:22 IST 2022","Wed Nov 09 17:25:52 IST 2022","30025","All Test Suite","Patients Flow","Pages.Patient","Pages.Patient","Patients","Check patients flow",""
"passed","Tue Nov 08 18:35:37 IST 2022","Tue Nov 08 18:35:40 IST 2022","3114","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","logoutflow","Check logout flow",""
"passed","Tue Nov 08 18:35:13 IST 2022","Tue Nov 08 18:35:17 IST 2022","4321","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","iconVisibility","Check iconVisibility flow",""
"passed","Tue Nov 08 18:42:49 IST 2022","Tue Nov 08 18:42:53 IST 2022","4357","All Test Suite","Search Patient","Tests.SearchPatient","Tests.SearchPatient","searchPatientNegFlow","Check negative search patient flow",""
"passed","Wed Nov 09 17:17:11 IST 2022","Wed Nov 09 17:17:15 IST 2022","4245","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","iconVisibility","Check iconVisibility flow",""
"passed","Tue Nov 08 18:42:43 IST 2022","Tue Nov 08 18:42:49 IST 2022","6522","All Test Suite","Search Patient","Tests.SearchPatient","Tests.SearchPatient","searchPatientFlow","Check search patient flow",""
"passed","Wed Nov 09 17:17:15 IST 2022","Wed Nov 09 17:17:19 IST 2022","4240","All Test Suite","Login Page","Pages.LoginLogout","Pages.LoginLogout","invalidPassword","Check invalidPassword flow",""
"passed","Tue Nov 08 18:39:59 IST 2022","Tue Nov 08 18:40:29 IST 2022","30402","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","editTeethNumber","Edit teeth numbers Flow",""
