"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 10:57:47 IST 2022","Tue Nov 08 10:57:51 IST 2022","4268","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","invalidUserName","Check logout flow",""
"broken","Tue Nov 08 10:58:41 IST 2022","Tue Nov 08 10:58:47 IST 2022","6255","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientWithInvalidName","Check add patient flow with invalid name input",""
"broken","Tue Nov 08 11:17:50 IST 2022","Tue Nov 08 11:18:04 IST 2022","14569","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","addFindingsFlow","Add findings Flow",""
"broken","Tue Nov 08 11:16:49 IST 2022","Tue Nov 08 11:17:05 IST 2022","15546","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","teethNumbering","Teeth Numbering Flow",""
"broken","Tue Nov 08 11:16:14 IST 2022","Tue Nov 08 11:16:32 IST 2022","18316","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","periapicalImage","Check U&A flow for periapical image",""
"passed","Tue Nov 08 10:57:34 IST 2022","Tue Nov 08 10:57:38 IST 2022","4095","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","emptyCredentials","Check logout flow",""
"broken","Tue Nov 08 11:16:02 IST 2022","Tue Nov 08 11:16:14 IST 2022","11457","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uploadAndAnalyze","Check U&A flow for bitewing image",""
"broken","Tue Nov 08 10:58:54 IST 2022","Tue Nov 08 10:58:54 IST 2022","0","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","setup","setup",""
"broken","Tue Nov 08 10:58:47 IST 2022","Tue Nov 08 10:58:47 IST 2022","1","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","tearDown","tearDown",""
"passed","Tue Nov 08 10:57:51 IST 2022","Tue Nov 08 10:58:02 IST 2022","10404","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","loginflow","Check login flow",""
"broken","Tue Nov 08 12:26:11 IST 2022","Tue Nov 08 12:26:14 IST 2022","3127","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","addNotes","Add Notes Flow",""
"broken","Tue Nov 08 10:58:47 IST 2022","Tue Nov 08 10:58:47 IST 2022","3","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientbtn","Check Add Patient flow",""
"passed","Tue Nov 08 10:57:43 IST 2022","Tue Nov 08 10:57:47 IST 2022","4572","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","invalidPassword","Check logout flow",""
"broken","Tue Nov 08 11:16:32 IST 2022","Tue Nov 08 11:16:49 IST 2022","17219","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uAndARegession","Upload and analyze Regression flow",""
"passed","Tue Nov 08 10:58:28 IST 2022","Tue Nov 08 10:58:41 IST 2022","13095","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatient","Check Add Patient flow",""
"broken","Tue Nov 08 11:17:21 IST 2022","Tue Nov 08 11:17:35 IST 2022","14828","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","doctorsNotes","Doctors Notes Flow",""
"passed","Tue Nov 08 10:58:02 IST 2022","Tue Nov 08 10:58:05 IST 2022","3096","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","logoutflow","Check logout flow",""
"broken","Tue Nov 08 11:17:35 IST 2022","Tue Nov 08 11:17:50 IST 2022","14449","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","editTeethNumber","Edit teeth numbers Flow",""
"passed","Tue Nov 08 10:57:38 IST 2022","Tue Nov 08 10:57:43 IST 2022","4225","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","iconVisibility","Check logout flow",""
